id,name,acronym,image_id,published,created_date,updated_date
1,Partido Acción Nacional,PAN,null,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
2,Partido Revolucionario Institucional,PRI,null,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
3,Partido Revolución Democratica,PRD,null,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
4,Partido del Trabajo,PT,null,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
5,Partido Verde Ecologista de México,PVEM,null,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
6,Movimiento Ciudadano,MC,null,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
7,Nueva Alianza,PANAL,null,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
8,Movimiento Regeneración Nacional,MORENA,null,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
9,Encuentro Social,ES,null,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
10,Partido Unidad Popular,PUP,null,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
11,Partido Social Demócrata,PSD,null,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
12,Partido Renovación Social,PRS,null,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995

